Magasin,Rayon,URL,Produit,Marque,Quantité/poids,17.05.2022,01.06.2022,15.06.2022,01.07.2022,15.07.2022,31.07.2022,16.08.2022,01.09.2022,15.09.2022,01.10.2022,15.10.2022,01.11.2022,14.11.2022,06.12.2022,16.12.2022,02.01.2023,16.01.2023,01.02.2023,20.02.2023,01.03.2023,15.03.2023,01.04.2023,14.04.2023,01.05.2023
Coop,Fruits & légumes,https://www.coop.ch/fr/nourriture/fruits-legumes/herbes-epices/oignons-ail/ail-1-piece/p/3753601,Ail,Coop,1 pièce,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5
Coop,Fruits & légumes,https://www.coop.ch/fr/nourriture/fruits-legumes/plus-legumes/courgettes-courge-aubergines/aubergines-env/p/3090945?context=search,Aubergines env. 500g,Coop,500g,1.7,1.7,2.2,2.1,2.1,2.1,2.1,2.1,2.4,1.95,2,1.6,1.5,1.75,2.25,2,1.7,1.7,2.5,2.15,,1.8,,1.5
Coop,Fruits & légumes,https://www.coop.ch/fr/nourriture/fruits-legumes/legumes-frais-pour-salades/avocats/avocat-bio-naturaplan/p/3465933?context=search,Avocat bio ,Naturaplan,1 pièce,,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.95,1.95,1.95,1.95,1.95,1.95,1.95,2.1,2.1,2.2,2.2,2.1,2.1,,2.2
Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/garde-manger/aliments-de-base/pates/spaghettis/barilla-spaghetti-no-5/p/3032108,Spaghetti No. 5 (500g),Barilla ,500g,,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,1.56,2.6,1.75,2.6,2.6,1.55,1.8,2.6,2.6,,1.5
Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/garde-manger/aliments-de-base/riz/a-grains-longs-vitamine/ben-s-original-riz-a-long-grains-10-min/p/3639191?context=search,Riz à long grains 10 min,Ben's Original,1kg,,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,,,,,,,,,,
Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/friandises-snacks/chocolat-sucreries/chocolat-en-plaques/lait-noisettes/cailler-lait-noisettes/p/3532742?context=search,Chocolat lait-noisettes (100g),Cailler,100g,,2.94,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,1.84,1.84,2.3,2.5,2.5,2.5,2.5,2.5,,2.5
Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/garde-manger/bouillons-epices/epices-liquides-en-pates/cenovis-condiment-a-tartiner/p/3022312?,Cenovis Condiment à tartiner (70g),Cénovis,70g,,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,2.85,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.95,3.95,,,3.95
Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/garde-manger/conserves/legumes/tomates/cirio-tomates-concassees/p/3023092,Tomates concassées (400g),Cirio,400g,,1.44,1.44,1.44,1.44,1.65,1.65,1.65,1.65,1.65,1.6,1.18,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.75,,,1.75
Coop,Fruits & légumes,https://www.coop.ch/fr/nourriture/fruits-legumes/plus-legumes/courgettes-courge-aubergines/courgettes-bio-naturaplan-env/p/7037890,Courgettes bio  ,Naturaplan,1kg,3.9,6.8,7.95,6.95,5.4,4.95,5.4,5.95,6.4,7.95,6.95,6,6,6,6,6,6,5.9,6,5.9,,,,4
Coop,Viandes et poissons,https://www.coop.ch/fr/nourriture/viandes-poissons/viandes-fraiches-emballees/volaille/escalopes-de-dinde-2-pieces-env/p/5843879,Escalopes de dinde 2 pièces,Coop Qualité & Prix,250g,7.95,8.35,8.35,8.35,8.6,8.6,8.75,8.75,8.75,8.75,8.75,8.75,8.75,7.95,7.95,7.4,7.4,7.4,7.4,7.4,7.4,,,6.85
