,shop,category,url,attribution,icon_id,product_id,product_short,product_full,brand,quantity,17.05.2022,01.06.2022,15.06.2022,01.07.2022,15.07.2022,31.07.2022,16.08.2022,01.09.2022,15.09.2022,01.10.2022,15.10.2022
0,Coop,Fruits & légumes,https://www.coop.ch/fr/nourriture/fruits-legumes/herbes-epices/oignons-ail/ail-1-piece/p/3753601,"<a href=""https://www.flaticon.com/free-icons/garlic"" title=""garlic icons"">Garlic icons created by Futuer - Flaticon</a>",ail,ail_coop,,Ail,Coop,1 pièce,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.5,0.5
1,Coop,Fruits & légumes,https://www.coop.ch/fr/nourriture/fruits-legumes/plus-legumes/courgettes-courge-aubergines/aubergines-env/p/3090945?context=search,"<a href=""https://www.flaticon.com/free-icons/eggplant"" title=""eggplant icons"">Eggplant icons created by Icongeek26 - Flaticon</a>",aubergine,aubergine_coop,,Aubergines,Coop,500g,1.7,1.7,2.2,2.1,2.1,2.1,2.1,2.1,2.4,1.95,2
2,Coop,Fruits & légumes,https://www.coop.ch/fr/nourriture/fruits-legumes/legumes-frais-pour-salades/avocats/avocat-bio-naturaplan/p/3465933?context=search,"<a href=""https://www.flaticon.com/free-icons/avocado"" title=""avocado icons"">Avocado icons created by justicon - Flaticon</a>",avocat,avocat_coop,,Avocat bio ,Naturaplan,1 pièce,,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.95,1.95
3,Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/garde-manger/aliments-de-base/pates/spaghettis/barilla-spaghetti-no-5/p/3032108,"<a href=""https://www.flaticon.com/free-icons/spaghetti"" title=""spaghetti icons"">Spaghetti icons created by Freepik - Flaticon</a>",spaghetti,spaghetti_coop,Spaghetti,Spaghetti No. 5,Barilla ,500g,,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.6,2.6
4,Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/garde-manger/aliments-de-base/riz/a-grains-longs-vitamine/ben-s-original-riz-a-long-grains-10-min/p/3639191?context=search,"<a href=""https://www.flaticon.com/free-icons/rice"" title=""rice icons"">Rice icons created by Freepik - Flaticon</a>",riz,riz_coop,Riz,Riz à long grains 10 min,Ben's Original,1kg,,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95
5,Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/friandises-snacks/chocolat-sucreries/chocolat-en-plaques/lait-noisettes/cailler-lait-noisettes/p/3532742?context=search,"<a href=""https://www.flaticon.com/free-icons/chocolate"" title=""chocolate icons"">Chocolate icons created by dDara - Flaticon</a>",chocolat,chocolat_coop,Chocolat en plaque,Chocolat lait-noisettes,Cailler,100g,,2.94,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
6,Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/garde-manger/bouillons-epices/epices-liquides-en-pates/cenovis-condiment-a-tartiner/p/3022312?,"<a href=""https://www.flaticon.com/free-icons/toast"" title=""toast icons"">Toast icons created by Freepik - Flaticon</a>",cenovis,cenovis_coop,Cenovis,Cenovis Condiment à tartiner,Cénovis,70g,,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,2.85,3.8
7,Coop,Conserves et alimentation,https://www.coop.ch/fr/nourriture/garde-manger/conserves/legumes/tomates/cirio-tomates-concassees/p/3023092,"<a href=""https://www.flaticon.com/free-icons/tomato-sauce"" title=""tomato sauce icons"">Tomato sauce icons created by Freepik - Flaticon</a>",tomate_concassee,tomate_concassee_coop,,Tomates concassées,Cirio,400g,,1.44,1.44,1.44,1.44,1.65,1.65,1.65,1.65,1.65,1.6
8,Coop,Fruits & légumes,https://www.coop.ch/fr/nourriture/fruits-legumes/plus-legumes/courgettes-courge-aubergines/courgettes-bio-naturaplan-env/p/7037890,"<a href=""https://www.flaticon.com/de/kostenlose-icons/zucchini"" title=""zucchini Icons"">Zucchini Icons erstellt von max.icons - Flaticon</a>",courgette,courgette_coop,,Courgettes bio  ,Naturaplan,1kg,3.9,6.8,7.95,6.95,5.4,4.95,5.4,5.95,6.4,7.95,6.95
9,Coop,Viandes et poissons,https://www.coop.ch/fr/nourriture/viandes-poissons/viandes-fraiches-emballees/volaille/escalopes-de-dinde-2-pieces-env/p/5843879,"<a href=""https://www.flaticon.com/free-icons/turkey"" title=""turkey icons"">Turkey icons created by Freepik - Flaticon</a>",dinde,dinde_coop,,Escalopes de dinde,Coop Qualité & Prix,250g,7.95,8.35,8.35,8.35,8.6,8.6,8.75,8.75,8.75,8.75,8.75
